plant_name,plant_key,generation_type,generation_subtype,region,energy_type,renewable_factor,25,total,mwh,hour,timestamp
PMGD PFV CHILENER,PMGD PFV Chilener,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,0.15794503036678292,0.0,1,2024-10-22 00:00:00
BESS ALFALFAL VR2,BESS ALFALFAL VR2 (Inyección),Bess,(en blanco),Región Metropolitana,ernc,1.0,0.0,209.01279641748368,17.874921654893278,1,2024-10-22 00:00:00
BESS PFV COYA,BESS COYA (Inyección),Bess,(en blanco),Región de Antofagasta,ernc,1.0,0.0,612.1132626296697,33.40873504618512,1,2024-10-22 00:00:00
PMGD PFV LA VENDIMIA,PMGD PFV La Vendimia,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,60.84503875350768,0.0,1,2024-10-22 00:00:00
PMGD PFV ALAMEDA,PMGD PFV Alameda,Solar,(en blanco),Región de O'Higgins,ernc,1.0,0.0,61.619892088881734,0.0,1,2024-10-22 00:00:00
PMGD PFV SGT CATAPILCO,PMGD PFV SGT CATAPILCO,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,39.87248250721074,0.0,1,2024-10-22 00:00:00
BESS Cochrane,BESS Cochrane (Inyección),Bess,(en blanco),Región de Antofagasta,convencional,0.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
PMGD PFV LOS LIRIOS,PMGD PFV Los Lirios,Solar,(en blanco),Región de O'Higgins,ernc,1.0,0.0,36.76964367815977,0.0,1,2024-10-22 00:00:00
PFV TAIRA [EN_REVISION],PFV TAIRA,Solar,(en blanco),Región de Antofagasta,ernc,1.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
PMGD PFV SOL DEL MAULE,PMGD PFV Sol del Maule,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,12.96951132953263,0.0,1,2024-10-22 00:00:00
PMGD HP TRANCA DEL TORO,PMGD HP Tranca del Toro,Hidráulica,Pasada,Región de los Ríos,ernc,1.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
TER RENCA [No_Mostrar],Renca U-2,Térmica,Diésel,Región Metropolitana,convencional,0.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
TER RENCA [No_Mostrar],Renca U-1,Térmica,Diésel,Región Metropolitana,convencional,0.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
BESS Angamos,BESS Angamos (Inyección),Bess,(en blanco),Región de Antofagasta,convencional,0.0,0.0,2.728974029877427,0.10346009865062707,1,2024-10-22 00:00:00
PMGD PFV EA MAITEN [En_Revision],PMGD PFV Ea Maiten,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,14.737703598160484,0.0,1,2024-10-22 00:00:00
PE PUNTA DE TALCA [En_Revision],PE PUNTA DE TALCA,Eólica,(en blanco),Región Metropolitana,ernc,1.0,0.0,89.1800106219371,7.0439501265391815,1,2024-10-22 00:00:00
PMGD PFV EL MIRLO,PMGD PFV El Mirlo,Solar,(en blanco),Región de O'Higgins,ernc,1.0,0.0,40.522574468143674,0.0,1,2024-10-22 00:00:00
PMGD PFV EA SF GRANEROS [En_Revision],PMGD PFV EA SF Graneros,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,18.182486285968544,0.0,1,2024-10-22 00:00:00
PMGD PFV MACARENA SOLAR,PMGD PFV Macarena Solar,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,2.389534825387537,0.0,1,2024-10-22 00:00:00
PMGD PFV CORSO,PMGD PFV Corso,Solar,(en blanco),Región de Atacama,ernc,1.0,0.0,23.519885377027247,0.0,1,2024-10-22 00:00:00
PMGD PFV RUCAPAINE,PMGD PFV Rucapaine,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,62.4869208150356,0.0,1,2024-10-22 00:00:00
PMGD PFV EL CARPINTERO,PMGD PFV El Carpintero,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,41.79218073808631,0.0,1,2024-10-22 00:00:00
PMGD PFV CENTAURO SOLAR,PMGD PFV Centauro Solar,Solar,(en blanco),Región de Ñuble,ernc,1.0,0.0,52.504155333099085,0.0,1,2024-10-22 00:00:00
PMGD PFV BLU,PMGD PFV Blu,Solar,(en blanco),Región de Ñuble,ernc,1.0,0.0,17.362646491559055,0.0,1,2024-10-22 00:00:00
